,2018 Rank,City,State,2018 estimate,2010 census,Percentage of change,Land area sq mi,Land area sq km,Population density /sq mi,Population density /sq km,Location,Link,LD,SD
219,219,Athens,Georgia,125964,115452,9.11,116.4,301.5,1060,410,33°56′59″N83°22′12″W﻿ / ﻿33.9496°N 83.3701°W﻿ /33.9496; -83.3701﻿ ,"/wiki/Athens,_Georgia","With equal measures of grunge and grace, Athens is a heady mix of history and edginess.",is the world's ancient capital
220,220,Topeka,Kansas,125904,127473,−1.23,61.5,159.3,2062,796,39°02′05″N95°41′46″W﻿ / ﻿39.0347°N 95.6962°W﻿ /39.0347; -95.6962﻿ ,"/wiki/Topeka,_Kansas","Kansas and its vital role in America's race relations is symbolized in the otherwise humdrum state capital of Topeka. The emerging NOTO Arts District in historic North Topeka is a bright spot with eclectic shops, galleries and restaurants.", 
221,221,Simi Valley,California,125851,124237,1.3,41.5,107.5,3044,1175,34°16′01″N118°44′55″W﻿ / ﻿34.2669°N 118.7485°W﻿ /34.2669; -118.7485﻿ ,"/wiki/Simi_Valley,_California",,
222,222,Fargo,North Dakota,124844,105549,18.28,49.3,127.7,2450,950,46°51′55″N96°49′44″W﻿ / ﻿46.8652°N 96.8290°W﻿ /46.8652; -96.8290﻿ ,"/wiki/Fargo,_North_Dakota",,
223,223,Norman,Oklahoma,123471,110925,11.31,178.8,463.1,683,264,35°14′26″N97°20′43″W﻿ / ﻿35.2406°N 97.3453°W﻿ /35.2406; -97.3453﻿ ,"/wiki/Norman,_Oklahoma",,
224,224,Columbia,Missouri,123180,108500,13.53,65,168.3,1856,717,38°57′06″N92°19′43″W﻿ / ﻿38.951561°N 92.328638°W﻿ /38.951561; -92.328638﻿ ,"/wiki/Columbia,_Missouri","Sigh-inducing mountains, mist-shrouded forests and epic tooth-and-claw wildlife: this is Canada’s legendary outdoor wonderland. And it's served alongside a full menu of distinctive, ever-inviting communities.",
225,225,Abilene,Texas,122999,117063,5.07,106.7,276.4,1146,442,32°27′16″N99°44′17″W﻿ / ﻿32.4545°N 99.7381°W﻿ /32.4545; -99.7381﻿ ,"/wiki/Abilene,_Texas","In the late 19th century, Abilene was a rowdy cow town at the end of the Chisholm Trail. Today its compact core of historic brick buildings and well-preserved neighborhoods seems perfectly appropriate for the birthplace of Dwight D Eisenhower (1890–1969), president and general.", 
226,226,Wilmington,North Carolina,122607,106476,15.15,51.6,133.6,2278,880,34°12′33″N77°53′09″W﻿ / ﻿34.2092°N 77.8858°W﻿ /34.2092; -77.8858﻿ ,"/wiki/Wilmington,_North_Carolina","A unique cultural milieu (African Americans, Jews and Caribbeans) and an energetic arts scene make this city worth a visit. Wilmington is also a good launchpad for exploring the scenic Brandywine Valley, 6 miles north, and its many historic homes, gardens and mills. Much of the current grandeur traces back to the Du Pont family, whose legacy began with a gunpowder mill on the banks of the Brandywine River. The 1.3-mile downtown riverfront along the Christina River is a nice place for a patio meal and a stroll. And no description of Wilmington is complete without mentioning hometown politician Joe Biden, former vice-president and US senator, who regularly rode Amtrak between Wilmington and Washington, DC. After his tenure as vice-president ended in 2017, he rode Amtrak home.", 
227,227,Hartford,Connecticut,122587,124775,−1.75,17.4,45.1,7083,2735,41°45′57″N72°40′54″W﻿ / ﻿41.7659°N 72.6816°W﻿ /41.7659; -72.6816﻿ ,"/wiki/Hartford,_Connecticut",,
228,228,Victorville,California,122312,115903,5.53,73.3,189.8,1668,644,34°31′40″N117°21′13″W﻿ / ﻿34.5277°N 117.3536°W﻿ /34.5277; -117.3536﻿ ,"/wiki/Victorville,_California",,
229,229,Pearland,Texas,122149,91252,33.86,46.3,119.9,2453,947,29°33′21″N95°19′23″W﻿ / ﻿29.5558°N 95.3231°W﻿ /29.5558; -95.3231﻿ ,"/wiki/Pearland,_Texas",,
230,230,Vallejo,California,121913,115942,5.15,30.7,79.5,3951,1525,38°06′28″N122°15′50″W﻿ / ﻿38.1079°N 122.2640°W﻿ /38.1079; -122.2640﻿ ,"/wiki/Vallejo,_California",,
231,231,Ann Arbor,Michigan,121890,113934,6.98,28.1,72.8,4298,1659,42°16′34″N83°43′51″W﻿ / ﻿42.2761°N 83.7309°W﻿ /42.2761; -83.7309﻿ ,"/wiki/Ann_Arbor,_Michigan","Liberal and bookish Ann Arbor is home to the University of Michigan. The walkable downtown, which abuts the campus, is loaded with free-trade coffee shops, bookstores and brewpubs. It's also a mecca for chowhounds; follow the drool trail toward anything named 'Zingerman's.'",
232,232,Berkeley,California,121643,112580,8.05,10.5,27.2,11547,4458,37°52′01″N122°17′57″W﻿ / ﻿37.8670°N 122.2991°W﻿ /37.8670; -122.2991﻿ ,"/wiki/Berkeley,_California","Berkeley is synonymous with protest, activism and left wing politics. Beyond those tropes is a busy, attractive city, a blend of yuppie and hippie and student, all existing side by side with great Asia-Pacific regional restaurants, twee toy stores, Latin American groceries, high-end organic food halls and the misty green campus of the University of California, Berkeley (aka 'Cal'). It’s easy to stereotype ‘Beserkeley’ for some of its recycle-or-else PC crankiness and occasional overbearing self-righteousness. But some of that attitude is justified: at the end of the day Berkeley has, more often than not, been on the right side of environmental and political issues that have defined the rest of the nation.", 
233,233,Allentown,Pennsylvania,121433,118032,2.88,17.5,45.3,6882,2657,40°35′37″N75°28′42″W﻿ / ﻿40.5936°N 75.4784°W﻿ /40.5936; -75.4784﻿ ,"/wiki/Allentown,_Pennsylvania",,
234,234,Richardson,Texas,120981,99223,21.93,28.6,74.1,3963,1530,32°58′20″N96°42′29″W﻿ / ﻿32.9723°N 96.7081°W﻿ /32.9723; -96.7081﻿ ,"/wiki/Richardson,_Texas",,
235,235,Odessa,Texas,120568,99940,20.64,45.2,117.1,2608,1007,31°53′02″N102°20′28″W﻿ / ﻿31.8838°N 102.3411°W﻿ /31.8838; -102.3411﻿ ,"/wiki/Odessa,_Texas",,
236,236,Arvada,Colorado,120492,106433,13.21,38.6,100,3043,1175,39°50′01″N105°09′01″W﻿ / ﻿39.8337°N 105.1503°W﻿ /39.8337; -105.1503﻿ ,"/wiki/Arvada,_Colorado",,
237,237,Cambridge,Massachusetts,118977,105162,13.14,6.4,16.6,17289,6675,42°22′34″N71°07′07″W﻿ / ﻿42.3760°N 71.1187°W﻿ /42.3760; -71.1187﻿ ,"/wiki/Cambridge,_Massachusetts","The name says it all. Despite the rambunctious Waikato River looking nothing like the Cam, the good people of Cambridge have done all they can to assume an air of English gentility with village greens and tree-lined avenues.", 
238,238,Sugar Land,Texas,118600,78817,50.48,34,88.1,3488,1347,29°35′58″N95°36′51″W﻿ / ﻿29.5994°N 95.6142°W﻿ /29.5994; -95.6142﻿ ,"/wiki/Sugar_Land,_Texas",,
239,239,Beaumont,Texas,118428,118296,0.11,82.1,212.6,1441,556,30°05′06″N94°08′43″W﻿ / ﻿30.0849°N 94.1453°W﻿ /30.0849; -94.1453﻿ ,"/wiki/Beaumont,_Texas",,
240,240,Lansing,Michigan,118427,114297,3.61,39.1,101.3,2967,1146,42°42′51″N84°33′33″W﻿ / ﻿42.7143°N 84.5593°W﻿ /42.7143; -84.5593﻿ ,"/wiki/Lansing,_Michigan","Smallish Lansing is the state capital. A few miles east lies East Lansing, home of Michigan State University. They're worth a stop to peek into a couple of impressive museums.", 
241,241,Evansville,Indiana,117963,117429,0.45,47.3,122.5,2526,975,37°59′16″N87°32′05″W﻿ / ﻿37.9877°N 87.5347°W﻿ /37.9877; -87.5347﻿ ,"/wiki/Evansville,_Indiana",,
242,242,Rochester,Minnesota,116961,106769,9.55,54.6,141.4,2088,806,44°00′55″N92°28′38″W﻿ / ﻿44.0154°N 92.4772°W﻿ /44.0154; -92.4772﻿ ,"/wiki/Rochester,_Minnesota","Those who have heard the prevailing hearsay about Rochester – that it's a gritty, failed post-industrial city – may be surprised to find that it's an energized city with a world-class restaurant scene, friendly bars, stunning architecture and museums covering everything from the city's important history of activism to children's games. Although the winters are notoriously rough, the city is open year-round and you'll find that a little snow doesn't stop the locals from taking advantage of everything their city has to offer.", 
243,243,Independence,Missouri,116925,116830,0.08,77.8,201.5,1504,581,39°05′08″N94°21′08″W﻿ / ﻿39.0855°N 94.3521°W﻿ /39.0855; -94.3521﻿ ,"/wiki/Independence,_Missouri","Picture-perfect Independence is the perfect stereotype for an old Midwestern small town. It was the home of Harry S Truman, US president from 1945 to 1953, and has some unmissable museums.", 
244,244,Fairfield,California,116884,105321,10.98,40.9,105.9,2806,1083,38°15′33″N122°01′56″W﻿ / ﻿38.2593°N 122.0321°W﻿ /38.2593; -122.0321﻿ ,"/wiki/Fairfield,_California",,
245,245,Provo,Utah,116702,112488,3.75,41.7,108,2803,1082,40°14′43″N111°38′41″W﻿ / ﻿40.2453°N 111.6448°W﻿ /40.2453; -111.6448﻿ ,"/wiki/Provo,_Utah","The third-largest city in Utah, Provo is a conservative Mormon town. (It's also known as 'Happy Valley,' as more antidepressants are prescribed here than in any other part of Utah.) Remember Donny & Marie Osmond, the saccharine 1970s sibling singing sensation? This is their hometown. Unless you're a big fan, the most compelling reason to visit is to see Brigham Young University on a day trip from Salt Lake City, 45 miles north. University Ave, Provo's main thoroughfare, intersects Center St in the small old downtown core. Note that the whole place pretty much shuts down on Sunday.", 
246,246,Clearwater,Florida,116478,107685,8.17,25.9,67.1,4415,1705,27°58′44″N82°46′00″W﻿ / ﻿27.9789°N 82.7666°W﻿ /27.9789; -82.7666﻿ ,"/wiki/Clearwater,_Florida",,
247,247,College Station,Texas,116218,93857,23.82,51,132.1,2199,849,30°35′07″N96°17′47″W﻿ / ﻿30.5852°N 96.2964°W﻿ /30.5852; -96.2964﻿ ,"/wiki/College_Station,_Texas","'Welcome to Aggieland.' Texas A&M University is the reason for being, not only for College Station but for neighboring Bryan, which was long ago subsumed into one metro area. Each school year the town's combined permanent population gets a whopping 46,000 student boost. Then all the businesses on College Station's main drag, University Blvd, really bustle.", 
248,248,West Jordan,Utah,116046,103712,11.89,32.3,83.7,3520,1360,40°36′09″N112°00′03″W﻿ / ﻿40.6024°N 112.0008°W﻿ /40.6024; -112.0008﻿ ,"/wiki/West_Jordan,_Utah",,
249,249,Carlsbad,California,115877,105328,10.02,37.7,97.6,3023,1167,33°07′26″N117°16′58″W﻿ / ﻿33.1239°N 117.2828°W﻿ /33.1239; -117.2828﻿ ,"/wiki/Carlsbad,_California","Most visitors come to Carlsbad for Legoland and head right back out, and that’s too bad because they’ve missed the charming, intimate Carlsbad Village with shopping, dining and beaching nearby. It’s bordered by I-5 and Carlsbad Blvd, which run north–south and are connected by Carlsbad Village Dr running east–west.", 
250,250,El Monte,California,115586,113475,1.86,9.6,24.9,12063,4658,34°04′29″N118°01′45″W﻿ / ﻿34.0746°N 118.0291°W﻿ /34.0746; -118.0291﻿ ,"/wiki/El_Monte,_California",,
251,251,Murrieta,California,114985,103466,11.13,33.6,87,3324,1283,33°34′20″N117°11′25″W﻿ / ﻿33.5721°N 117.1904°W﻿ /33.5721; -117.1904﻿ ,"/wiki/Murrieta,_California",,
252,252,Temecula,California,114742,100097,14.63,37.3,96.6,3031,1170,33°29′35″N117°07′54″W﻿ / ﻿33.4931°N 117.1317°W﻿ /33.4931; -117.1317﻿ ,"/wiki/Temecula,_California","Temecula has become a popular short-break destination for its Old West Americana main street, nearly two dozen wineries and California’s largest casino, Pechanga.", 
253,253,Springfield,Illinois,114694,116250,−1.34,60.1,155.7,1925,743,39°47′28″N89°38′41″W﻿ / ﻿39.7911°N 89.6446°W﻿ /39.7911; -89.6446﻿ ,"/wiki/Springfield,_Illinois",,
254,254,Palm Bay,Florida,114194,103190,10.66,65.7,170.2,1676,647,27°59′08″N80°39′45″W﻿ / ﻿27.9856°N 80.6626°W﻿ /27.9856; -80.6626﻿ ,"/wiki/Palm_Bay,_Florida",,
255,255,Costa Mesa,California,113615,109960,3.32,15.7,40.7,7186,2775,33°39′57″N117°54′44″W﻿ / ﻿33.6659°N 117.9123°W﻿ /33.6659; -117.9123﻿ ,"/wiki/Costa_Mesa,_California","So close to Newport Beach that they're often lumped together, Costa Mesa at first glance looks like just another landlocked suburb transected by the I-405, but top venues attract some 24 million visitors each year. South Coast Plaza is SoCal's largest mall – properly termed a ‘shopping resort’ – while Orange County’s cultural heart is steps away in the performing-arts venues Segerstrom Center for the Arts and South Coast Repertory, lending the city's slogan, City of the Arts.", 
256,256,Westminster,Colorado,113479,106114,6.94,31.7,82.1,3592,1387,39°52′56″N105°03′52″W﻿ / ﻿39.8822°N 105.0644°W﻿ /39.8822; -105.0644﻿ ,"/wiki/Westminster,_Colorado",,
257,257,North Charleston,South Carolina,113237,97471,16.18,73.7,190.9,1483,573,32°55′04″N80°03′54″W﻿ / ﻿32.9178°N 80.0650°W﻿ /32.9178; -80.0650﻿ ,"/wiki/North_Charleston,_South_Carolina",,
258,258,Miami Gardens,Florida,113069,107167,5.51,18.2,47.1,6212,2398,25°56′56″N80°14′37″W﻿ / ﻿25.9489°N 80.2436°W﻿ /25.9489; -80.2436﻿ ,"/wiki/Miami_Gardens,_Florida",,
259,259,Manchester,New Hampshire,112525,109565,2.7,33.1,85.7,3339,1289,42°59′06″N71°26′39″W﻿ / ﻿42.9849°N 71.4441°W﻿ /42.9849; -71.4441﻿ ,"/wiki/Manchester,_New_Hampshire","'This is Manchester, we do things differently here', declared culture catalyst and Factory Records founder Tony Wilson in 1977. It was a ballsy statement, given that Manchester's musical renaissance hadn't yet happened, the football teams were mediocre and the city was mired in economic depression.",is sporting passion
260,260,High Point,North Carolina,112316,104371,7.61,55.2,143,2015,778,35°59′24″N79°59′26″W﻿ / ﻿35.9900°N 79.9905°W﻿ /35.9900; -79.9905﻿ ,"/wiki/High_Point,_North_Carolina",,
261,261,Downey,California,112269,111772,0.44,12.4,32.1,9134,3527,33°56′18″N118°07′51″W﻿ / ﻿33.9382°N 118.1309°W﻿ /33.9382; -118.1309﻿ ,"/wiki/Downey,_California",,
262,262,Clovis,California,112022,95631,17.14,24.2,62.7,4404,1700,36°49′42″N119°41′06″W﻿ / ﻿36.8282°N 119.6849°W﻿ /36.8282; -119.6849﻿ ,"/wiki/Clovis,_California",,
263,263,Pompano Beach,Florida,111954,99845,12.13,24,62.2,4558,1760,26°14′30″N80°08′02″W﻿ / ﻿26.2416°N 80.1339°W﻿ /26.2416; -80.1339﻿ ,"/wiki/Pompano_Beach,_Florida",,
264,264,Pueblo,Colorado,111750,106595,4.84,53.6,138.8,2058,795,38°16′12″N104°36′44″W﻿ / ﻿38.2699°N 104.6123°W﻿ /38.2699; -104.6123﻿ ,"/wiki/Pueblo,_Colorado","When America first expanded west, one pioneer at a time, the Arkansas River – which bisects Pueblo – was the border between the United States and Old Mexico. Following the Mexican–American War (1846–48), developers began turning this eastern Colorado market town into a railroad hub and steel manufacturing center. It went on to become Colorado's second-largest city and eventually earned the moniker Pittsburgh of the West, thanks to the success of Colorado Fuel & Iron.", 
265,265,Elgin,Illinois,111683,108188,3.23,37.4,96.9,2998,1158,42°02′23″N88°19′18″W﻿ / ﻿42.0396°N 88.3217°W﻿ /42.0396; -88.3217﻿ ,"/wiki/Elgin,_Illinois","Elgin has been the provincial capital of Moray for over eight centuries and was an important town in medieval times. Dominated by a hilltop monument to the 5th Duke of Gordon, Elgin's main attractions are its impressive ruined cathedral, where the tombs of the duke's ancestors lie, and its fine museum.", 
266,266,Lowell,Massachusetts,111670,106519,4.84,13.6,35.2,8129,3139,42°38′20″N71°19′16″W﻿ / ﻿42.6390°N 71.3211°W﻿ /42.6390; -71.3211﻿ ,"/wiki/Lowell,_Massachusetts","In the early 19th century, textile mills in Lowell churned out cloth by the mile, driven by the abundant waterpower of Pawtucket Falls. Today, the city at the confluence of the Concord and Merrimack Rivers doesn't have such a robust economy, but its historic center recalls the industrial revolution glory days – a working textile mill, canal boat tours and trolley rides evoke the birth of America as an industrial giant.", 
267,267,Antioch,California,111535,102372,8.95,29.4,76.1,3772,1456,37°58′45″N121°47′46″W﻿ / ﻿37.9791°N 121.7962°W﻿ /37.9791; -121.7962﻿ ,"/wiki/Antioch,_California",,
268,268,West Palm Beach,Florida,111398,99919,11.49,55.1,142.7,1963,758,26°44′47″N80°07′30″W﻿ / ﻿26.7464°N 80.1251°W﻿ /26.7464; -80.1251﻿ ,"/wiki/West_Palm_Beach,_Florida","When Henry Flagler decided to develop what is now West Palm Beach, he knew precisely what it would become: a working-class community for the labor force that would support his glittering resort town across the causeway. And so the fraternal twins were born – Palm Beach, considered the fairer of the two, and West Palm Beach, a cooler work-hard-play-hard community. West Palm has a surprisingly diverse collection of restaurants, friendly inhabitants (including a strong gay community) and a gorgeous waterway that always seems to reflect the perfect amount of starlight.",
269,269,Peoria,Illinois,111388,115007,−3.15,48.2,124.8,2371,915,40°45′05″N89°37′03″W﻿ / ﻿40.7515°N 89.6174°W﻿ /40.7515; -89.6174﻿ ,"/wiki/Peoria,_Illinois",,
270,270,Everett,Washington,111262,103019,8,33.3,86.2,3275,1264,47°57′24″N122°11′29″W﻿ / ﻿47.9566°N 122.1914°W﻿ /47.9566; -122.1914﻿ ,"/wiki/Everett,_Washington",,
271,271,Ventura,California,111128,106433,4.41,21.8,56.5,5027,1941,34°16′04″N119°15′15″W﻿ / ﻿34.2678°N 119.2542°W﻿ /34.2678; -119.2542﻿ ,"/wiki/Ventura,_California",,
272,272,Centennial,Colorado,110831,100377,10.41,29.5,76.4,3727,1439,39°35′26″N104°52′09″W﻿ / ﻿39.5906°N 104.8691°W﻿ /39.5906; -104.8691﻿ ,"/wiki/Centennial,_Colorado",,
273,273,Lakeland,Florida,110516,97422,13.44,65.9,170.7,1615,624,28°03′20″N81°57′18″W﻿ / ﻿28.0555°N 81.9549°W﻿ /28.0555; -81.9549﻿ ,"/wiki/Lakeland,_Florida","Most of Finland could be dubbed lakeland, but around here it seems there’s more aqua than terra firma. Reflecting the sky and forests as clearly as a mirror, the sparkling, clean water is likely to be one of your most enduring memories of Finland. When exploring the region, it's almost obligatory to get waterborne, whether it be while practising your paddling skills in a canoe or by hopping aboard a historic steamboat for leisurely progress down canals and across lakes.",
274,274,Gresham,Oregon,110158,105594,4.32,23.3,60.3,4786,1848,45°30′08″N122°26′30″W﻿ / ﻿45.5023°N 122.4416°W﻿ /45.5023; -122.4416﻿ ,"/wiki/Gresham,_Oregon",,
275,275,Richmond,California,110146,103701,6.21,30.1,78,3648,1409,37°57′08″N122°21′38″W﻿ / ﻿37.9523°N 122.3606°W﻿ /37.9523; -122.3606﻿ ,"/wiki/Richmond,_California","Richmond has woken up from a very long nap – and we like it. The capital of the commonwealth of Virginia since 1780, and the capital of the Confederacy during the Civil War, it's long been an old-fashioned city clinging too tightly to its Southern roots. But an influx of new and creative young residents is energizing and modernizing the community.",is a sunrise on the James
276,276,Billings,Montana,109550,104170,5.16,43.7,113.2,2525,975,45°47′19″N108°33′00″W﻿ / ﻿45.7885°N 108.5499°W﻿ /45.7885; -108.5499﻿ ,"/wiki/Billings,_Montana","It's hard to believe laid-back little Billings is Montana's largest city. The friendly oil-and-ranching center is not a must-see but makes for a decent overnight pit stop, or a point of departure for Yellowstone National Park via the breathtaking Beartooth Hwy.", 
277,277,Inglewood,California,109419,109673,−0.23,9.1,23.6,12160,4700,33°57′22″N118°20′39″W﻿ / ﻿33.9561°N 118.3443°W﻿ /33.9561; -118.3443﻿ ,"/wiki/Inglewood,_California",,
278,278,Broken Arrow,Oklahoma,109171,98850,10.44,61.7,159.8,1741,672,36°02′11″N95°46′52″W﻿ / ﻿36.0365°N 95.7810°W﻿ /36.0365; -95.7810﻿ ,"/wiki/Broken_Arrow,_Oklahoma",,
279,279,Sandy Springs,Georgia,108797,93853,15.92,37.7,97.6,2804,1083,33°55′53″N84°22′07″W﻿ / ﻿33.9315°N 84.3687°W﻿ /33.9315; -84.3687﻿ ,"/wiki/Sandy_Springs,_Georgia",,
280,280,Jurupa Valley,California,108393,0,NA[ab],42.9,111.1,2414,932,34°00′09″N117°28′03″W﻿ / ﻿34.0026°N 117.4676°W﻿ /34.0026; -117.4676﻿ ,"/wiki/Jurupa_Valley,_California",,
281,281,Hillsboro,Oregon,108389,91611,18.31,25,64.7,4207,1624,45°31′41″N122°56′09″W﻿ / ﻿45.5280°N 122.9357°W﻿ /45.5280; -122.9357﻿ ,"/wiki/Hillsboro,_Oregon",,
282,282,Waterbury,Connecticut,108093,110366,−2.06,28.5,73.8,3799,1467,41°33′31″N73°02′12″W﻿ / ﻿41.5585°N 73.0367°W﻿ /41.5585; -73.0367﻿ ,"/wiki/Waterbury,_Connecticut",,
283,283,Santa Maria,California,107408,99553,7.89,22.8,59.1,4662,1800,34°56′00″N120°26′38″W﻿ / ﻿34.9332°N 120.4438°W﻿ /34.9332; -120.4438﻿ ,"/wiki/Santa_Maria,_California",,
284,284,Boulder,Colorado,107353,97385,10.24,24.8,64.2,4358,1683,40°01′37″N105°15′07″W﻿ / ﻿40.0270°N 105.2519°W﻿ /40.0270; -105.2519﻿ ,"/wiki/Boulder,_Colorado","Twenty-five square miles surrounded by reality. That's the joke about Boulder that never goes away. The weather is perfect, the surroundings – stone Flatirons, gurgling creek, ponderosa trails and manicured college campus – beg idling. And the populace – fit do-gooders with the beta on the best fair-trade coffee and hoppiest home brew – seals the stereotype.",
285,285,Greeley,Colorado,107348,92889,15.57,47.8,123.8,2176,840,40°24′55″N104°46′11″W﻿ / ﻿40.4153°N 104.7697°W﻿ /40.4153; -104.7697﻿ ,"/wiki/Greeley,_Colorado",,
286,286,Daly City,California,107008,101123,5.82,7.6,19.7,14009,5409,37°42′03″N122°27′54″W﻿ / ﻿37.7009°N 122.4650°W﻿ /37.7009; -122.4650﻿ ,"/wiki/Daly_City,_California",,
287,287,Meridian,Idaho,106804,75092,42.23,29.8,77.2,3584,1384,43°36′51″N116°23′56″W﻿ / ﻿43.6142°N 116.3989°W﻿ /43.6142; -116.3989﻿ ,"/wiki/Meridian,_Idaho",,
288,288,Lewisville,Texas,106586,95290,11.85,36.7,95.1,2852,1101,33°02′48″N96°58′54″W﻿ / ﻿33.0466°N 96.9818°W﻿ /33.0466; -96.9818﻿ ,"/wiki/Lewisville,_Texas",,
289,289,Davie,Florida,106558,91992,15.83,34.9,90.4,2919,1127,26°04′45″N80°17′06″W﻿ / ﻿26.0791°N 80.2850°W﻿ /26.0791; -80.2850﻿ ,"/wiki/Davie,_Florida",,
290,290,West Covina,California,106311,106098,0.2,16,41.4,6740,2600,34°03′21″N117°54′36″W﻿ / ﻿34.0559°N 117.9099°W﻿ /34.0559; -117.9099﻿ ,"/wiki/West_Covina,_California",,
291,291,League City,Texas,106244,83560,27.15,51.2,132.6,1992,769,29°29′24″N95°06′33″W﻿ / ﻿29.4901°N 95.1091°W﻿ /29.4901; -95.1091﻿ ,"/wiki/League_City,_Texas",,
292,292,Tyler,Texas,105729,96900,9.11,56.6,146.6,1852,715,32°19′02″N95°18′21″W﻿ / ﻿32.3173°N 95.3059°W﻿ /32.3173; -95.3059﻿ ,"/wiki/Tyler,_Texas","Amidst the often-bland charms of northeast Texas, Tyler is a like a rose amid the, well... The city is one of the nation's centers of rose growing and it has a stunning municipal garden. It also makes a good stop if you're heading through the region.", 
293,293,Norwalk,California,105120,105549,−0.41,9.7,25.1,10946,4226,33°54′27″N118°05′01″W﻿ / ﻿33.9076°N 118.0835°W﻿ /33.9076; -118.0835﻿ ,"/wiki/Norwalk,_California","Straddling the Norwalk River and encrusted with the salt spray of Long Island Sound, Norwalk is fiercely proud of its maritime tradition. The area supported a robust oystering industry in the 18th and 19th centuries, and is still the state's top oyster producer.", 
294,294,San Mateo,California,105025,97207,8.04,12.1,31.3,8592,3317,37°33′37″N122°18′38″W﻿ / ﻿37.5603°N 122.3106°W﻿ /37.5603; -122.3106﻿ ,"/wiki/San_Mateo,_California",,
295,295,Green Bay,Wisconsin,104879,104057,0.79,45.4,117.6,2316,894,44°31′15″N87°59′03″W﻿ / ﻿44.5207°N 87.9842°W﻿ /44.5207; -87.9842﻿ ,"/wiki/Green_Bay,_Wisconsin",Green Bay is a modest industrial town best known as the fabled 'frozen tundra' where the Green Bay Packers win Super Bowls. The franchise is unique as the only community-owned nonprofit team in the NFL; perhaps pride in ownership is what makes the fans so die-hard (and also makes them wear foam-rubber cheese wedges on their heads)., 
296,296,Wichita Falls,Texas,104576,104553,0.02,72.2,187,1450,560,33°54′24″N98°31′33″W﻿ / ﻿33.9067°N 98.5259°W﻿ /33.9067; -98.5259﻿ ,"/wiki/Wichita_Falls,_Texas",,
297,297,Sparks,Nevada,104246,90264,15.49,35.9,93,2810,1080,39°33′16″N119°44′08″W﻿ / ﻿39.5544°N 119.7356°W﻿ /39.5544; -119.7356﻿ ,"/wiki/Sparks,_Nevada",,
298,298,Lakewood,New Jersey,104157,92843,12.19,24.7,64,4079,1575,40°04′38″N74°12′01″W﻿ / ﻿40.0771°N 74.2004°W﻿ /40.0771; -74.2004﻿ ,"/wiki/Lakewood_Township,_New_Jersey",,
299,299,Burbank,California,103695,103340,0.34,17.4,45.1,6003,2318,34°11′24″N118°19′35″W﻿ / ﻿34.1901°N 118.3264°W﻿ /34.1901; -118.3264﻿ ,"/wiki/Burbank,_California",,
300,300,Rialto,California,103440,99171,4.3,22.3,57.8,4633,1789,34°06′42″N117°23′18″W﻿ / ﻿34.1118°N 117.3883°W﻿ /34.1118; -117.3883﻿ ,"/wiki/Rialto,_California",,
301,301,Allen,Texas,103383,84246,22.72,27.1,70.2,3715,1434,33°05′59″N96°39′47″W﻿ / ﻿33.0997°N 96.6631°W﻿ /33.0997; -96.6631﻿ ,"/wiki/Allen,_Texas","This port town services the ferry route between northern Samar and southern Luzon. A word of advice: if it's getting late, stay the night in Allen and catch a morning boat. You do not want to be benighted in Matnog (over in Luzon) where the ferries arrive – trust us on this one.", 
302,302,El Cajon,California,103241,99478,3.78,14.5,37.6,7156,2763,32°48′06″N116°57′37″W﻿ / ﻿32.8017°N 116.9604°W﻿ /32.8017; -116.9604﻿ ,"/wiki/El_Cajon,_California",,
303,303,Las Cruces,New Mexico,102926,97618,5.44,76.9,199.2,1323,511,32°19′35″N106°47′23″W﻿ / ﻿32.3264°N 106.7897°W﻿ /32.3264; -106.7897﻿ ,"/wiki/Las_Cruces,_New_Mexico","Las Cruces and her older and smaller sister city, Mesilla, sit at the edge of a broad basin beneath the fluted Organ Mountains, at the crossroads of two major highways, I-10 and I-25. There’s something special about the combination of bright white sunlight, glassy blue skies, flowering cacti, rippling red mountains and desert lowland landscape found here. The city itself, however, is less than a dream town: it's sprawling and beastly hot for much of the year.", 
304,304,Renton,Washington,102153,90927,12.35,23.4,60.6,4314,1666,47°28′34″N122°11′31″W﻿ / ﻿47.4761°N 122.1920°W﻿ /47.4761; -122.1920﻿ ,"/wiki/Renton,_Washington",,
305,305,Davenport,Iowa,102085,99685,2.41,62.9,162.9,1631,630,41°33′15″N90°36′14″W﻿ / ﻿41.5541°N 90.6040°W﻿ /41.5541; -90.6040﻿ ,"/wiki/Davenport,_Iowa",Davenport is the largest and most vibrant of the so-called Quad Cities (Davenport and Bettendorf in Iowa and Moline and Rock Island in Illinois). It boasts a grand setting on the Mississippi River with a vast network of walking and biking trails., 
306,306,South Bend,Indiana,101860,101168,0.68,41.4,107.2,2457,949,41°40′37″N86°16′08″W﻿ / ﻿41.6769°N 86.2690°W﻿ /41.6769; -86.2690﻿ ,"/wiki/South_Bend,_Indiana","You know how people in certain towns say, 'football is a religion here'? They mean it in South Bend, home to the University of Notre Dame. Here 'Touchdown Jesus' lords over the 80,000-capacity stadium (it's a mural of the resurrected Christ with arms raised, though the pose bears a striking resemblance to a referee signaling a touchdown). The renowned campus – Indiana's second biggest tourist attraction after the Indianapolis Motor Speedway – is worth a pit stop, but South Bend is more than pigskin (football is only 12 days per year, after all).", 
